number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	total	
60	45	28	42	30	29	33	58	171	9	1	2	5	4	5	8	55	525
65	45	28	42	30	29	33	58	172	11	1	3	7	1	4	6	55	525
70	48	26	42	32	27	33	61	187	9	3	1	5	1	7	6	46	534
75	48	30	42	33	28	34	65	226	6	1	2	5	1	5	7	24	557
80	54	34	44	35	33	36	66	261	4	1	1	5	0	1	1	8	584
85	60	44	51	38	45	34	67	260	2	4	1	5	1	0	0	1	613
90	83	62	74	46	59	45	68	237	1	0	1	2	0	0	0	0	678
92	106	75	85	58	71	43	70	220	1	0	1	0	0	0	0	0	730
95	210	120	105	69	82	43	69	179	1	0	0	0	0	0	0	0	878
97	397	199	143	100	87	52	67	103	0	0	0	0	0	0	0	0	1148
99	1165	399	161	91	61	28	23	12	0	0	0	0	0	0	0	0	1940
